image,FE?,start time,end time,duration
01.jpg,True,0,10.926419713185169,10.926419713185169
02.jpg,False,10.926419713185169,17.276841458980925,6.350421745795757
03.jpg,True,17.276841458980925,27.39479194523301,10.117950486252084
04.jpg,False,27.39479194523301,39.27855323365657,11.883761288423557
05.jpg,False,39.27855323365657,44.978595454478636,5.70004222082207
06.jpg,False,44.978595454478636,54.078569396049716,9.09997394157108
07.jpg,False,54.078569396049716,61.36272262231796,7.284153226268245
08.jpg,True,61.36272262231796,74.62942595110508,13.266703328787116
09.jpg,False,74.62942595110508,83.81322309127427,9.18379714016919
10.jpg,True,83.81322309127427,90.13067151629366,6.317448425019393
11.jpg,False,90.13067151629366,95.31364855237189,5.182977036078228
12.jpg,False,95.31364855237189,107.4808497990598,12.16720124668791
13.jpg,False,107.4808497990598,110.23179291875567,2.750943119695876
14.jpg,False,110.23179291875567,112.39849628179218,2.166703363036504
15.jpg,False,112.39849628179218,118.38049884929205,5.982002567499876
16.jpg,True,118.38049884929205,125.48073953870335,7.100240689411294
17.jpg,False,125.48073953870335,138.2320226848824,12.751283146179048
18.jpg,True,138.2320226848824,152.71518829351407,14.48316560863168
19.jpg,False,152.71518829351407,159.11475567574962,6.399567382235546
20.jpg,False,159.11475567574962,164.3706945819431,5.255938906193478
21.jpg,True,164.3706945819431,173.16859217063757,8.797897588694468
22.jpg,True,173.16859217063757,188.66603169951122,15.497439528873656
23.jpg,False,188.66603169951122,199.166131515929,10.500099816417787
24.jpg,False,199.166131515929,205.70343597931787,6.537304463388864
25.jpg,False,205.70343597931787,211.11604353022994,5.412607550912071
26.jpg,True,211.11604353022994,217.0056705318275,5.889627001597546
27.jpg,False,217.0056705318275,219.2052307916747,2.1995602598472033
28.jpg,True,219.2052307916747,226.57105850955122,7.3658277178765275
29.jpg,False,226.57105850955122,231.5529165743501,4.981858064798871
30.jpg,False,231.5529165743501,235.05170764846844,3.498791074118344
31.jpg,True,235.05170764846844,241.20585468714125,6.154147038672818
32.jpg,False,241.20585468714125,241.90635575534543,0.7005010682041757
33.jpg,False,241.90635575534543,243.80325891217217,1.8969031568267383
34.jpg,False,243.80325891217217,247.1015097106283,3.298250798456138
