image,start time,end time,duration
01.png,0,18.080288546392694,18.080288546392694
02.png,18.080288546392694,28.492083668359555,10.411795121966861
03.png,28.492083668359555,43.24206723156385,14.749983563204296
04.png,43.24206723156385,47.36332325672265,4.1212560251588
05.png,47.36332325672265,50.316829618415795,2.953506361693144
06.png,50.316829618415795,55.70633347623516,5.3895038578193635
07.png,55.70633347623516,59.31068708188832,3.6043536056531593
08.png,59.31068708188832,68.42110446491279,9.110417383024469
09.png,68.42110446491279,74.21084501140285,5.789740546490066
10.png,74.21084501140285,85.27363804716151,11.06279303575866
11.png,85.27363804716151,91.36368623410817,6.09004818694666
12.png,91.36368623410817,93.9668207836803,2.6031345495721325
13.png,93.9668207836803,97.52104481332935,3.554224029649049
14.png,97.52104481332935,101.24260416417383,3.7215593508444726
15.png,101.24260416417383,104.07865651790053,2.8360523537267
16.png,104.07865651790053,107.84972632874269,3.771069810842164
17.png,107.84972632874269,111.95410664414521,4.104380315402523
18.png,111.95410664414521,119.57956361898687,7.625456974841654
19.png,119.57956361898687,122.91686824464705,3.337304625660181
20.png,122.91686824464705,128.5732967798831,5.656428535236046
21.png,128.5732967798831,132.71148398856167,4.138187208678573
22.png,132.71148398856167,140.98742146324366,8.275937474681996
23.png,140.98742146324366,144.00811151752714,3.0206900542834774
24.png,144.00811151752714,146.49378110130783,2.485669583780691
25.png,146.49378110130783,151.065607822733,4.571826721425168
26.png,151.065607822733,155.52096228732262,4.455354464589618
27.png,155.52096228732262,160.77677917131223,5.25581688398961
28.png,160.77677917131223,165.43213486869354,4.65535569738131
29.png,165.43213486869354,167.73558260605205,2.3034477373585105
30.png,167.73558260605205,169.7539386472199,2.0183560411678627
31.png,169.7539386472199,173.1746044573374,3.420665810117498
32.png,173.1746044573374,178.19689298188314,5.022288524545729
33.png,178.19689298188314,182.08502882579342,3.888135843910277
34.png,182.08502882579342,188.60887198941782,6.523843163624406
