image,FE?,start time,end time,duration
01.jpg,True,0,12.818135497640469,12.818135497640469
02.jpg,False,12.818135497640469,27.95932044017536,15.141184942534892
03.jpg,True,27.95932044017536,37.05960119314841,9.100280752973049
04.jpg,False,37.05960119314841,53.83863125141943,16.77903005827102
05.jpg,False,53.83863125141943,62.22761569546128,8.388984444041853
06.jpg,False,62.22761569546128,72.02765822445508,9.8000425289938
07.jpg,False,72.02765822445508,77.23006436532887,5.202406140873791
08.jpg,True,77.23006436532887,84.05980527750216,6.829740912173293
09.jpg,False,84.05980527750216,85.15876461849257,1.0989593409904046
10.jpg,True,85.15876461849257,86.6616712796822,1.502906661189627
09.jpg,False,86.6616712796822,90.09631651703967,3.434645237357472
08.jpg,True,90.09631651703967,91.54429914658249,1.447982629542821
09.jpg,False,91.54429914658249,103.77960190537851,12.235302758796024
10.jpg,True,103.77960190537851,108.6798156118457,4.900213706467184
11.jpg,False,108.6798156118457,115.13406048087927,6.454244869033573
12.jpg,False,115.13406048087927,119.56640668740147,4.4323462065221975
13.jpg,False,119.56640668740147,121.86840188593487,2.3019951985334046
14.jpg,False,121.86840188593487,124.78608603525208,2.9176841493172105
15.jpg,False,124.78608603525208,129.25268485643028,4.466598821178195
16.jpg,True,129.25268485643028,137.8197370119742,8.567052155543934
17.jpg,False,137.8197370119742,143.97199044913577,6.152253437161562
18.jpg,True,143.97199044913577,158.78871413500747,14.816723685871693
19.jpg,False,158.78871413500747,164.9555643976928,6.16685026268533
20.jpg,False,164.9555643976928,167.60682292361162,2.65125852591882
21.jpg,True,167.60682292361162,175.65839599967876,8.051573076067143
22.jpg,True,175.65839599967876,190.6574967957713,14.999100796092534
23.jpg,False,190.6574967957713,197.6748018481303,7.017305052359006
24.jpg,False,197.6748018481303,203.0747616476292,5.399959799498902
25.jpg,False,203.0747616476292,209.2747783578816,6.200016710252385
26.jpg,True,209.2747783578816,214.17529921814275,4.900520860261167
27.jpg,False,214.17529921814275,219.5590822504455,5.383783032302745
28.jpg,True,219.5590822504455,228.39249257199117,8.83341032154567
29.jpg,False,228.39249257199117,230.77607288962463,2.3835803176334593
30.jpg,False,230.77607288962463,234.29274565713422,3.51667276750959
31.jpg,True,234.29274565713422,239.92620261674165,5.633456959607429
32.jpg,False,239.92620261674165,245.4779590605467,5.551756443805061
33.jpg,False,245.4779590605467,248.87810137172346,3.400142311176751
34.jpg,False,248.87810137172346,252.77822056930745,3.90011919758399
