image,FE?,start time,end time,duration
01.jpg,True,0,8.209479923883919,8.209479923883919
02.jpg,False,8.209479923883919,13.376023717632052,5.166543793748133
03.jpg,True,13.376023717632052,20.2793346439139,6.903310926281847
04.jpg,False,20.2793346439139,28.745718423218932,8.466383779305033
05.jpg,False,28.745718423218932,35.12921655923128,6.383498136012349
06.jpg,False,35.12921655923128,40.71248143637786,5.583264877146576
07.jpg,False,40.71248143637786,46.09609120246023,5.3836097660823725
08.jpg,True,46.09609120246023,51.179297696449794,5.0832064939895645
09.jpg,False,51.179297696449794,64.39610513910884,13.216807442659047
10.jpg,True,64.39610513910884,69.87955598643748,5.4834508473286405
11.jpg,False,69.87955598643748,73.74720214388799,3.8676461574505083
12.jpg,False,73.74720214388799,77.71663160825847,3.969429464370478
13.jpg,False,77.71663160825847,79.31682829622878,1.6001966879703104
14.jpg,False,79.31682829622878,80.6503288463573,1.3335005501285195
15.jpg,False,80.6503288463573,82.8502531023114,2.1999242559541017
16.jpg,True,82.8502531023114,86.93477279011859,4.084519687807187
17.jpg,False,86.93477279011859,89.71773866313742,2.7829658730188385
18.jpg,True,89.71773866313742,95.11807889508782,5.400340231950395
19.jpg,False,95.11807889508782,99.15137306659017,4.033294171502348
20.jpg,False,99.15137306659017,104.11810149502708,4.966728428436909
21.jpg,True,104.11810149502708,110.00225109158782,5.884149596560746
22.jpg,True,110.00225109158782,121.81916037097108,11.816909279383253
23.jpg,False,121.81916037097108,125.81881931721,3.999658946238924
24.jpg,False,125.81881931721,128.1186678633676,2.299848546157591
25.jpg,False,128.1186678633676,134.85228230350185,6.733614440134261
26.jpg,True,134.85228230350185,139.45229476771783,4.600012464215979
27.jpg,False,139.45229476771783,144.55221974273445,5.09992497501662
28.jpg,True,144.55221974273445,148.05237674387172,3.500157001137268
29.jpg,False,148.05237674387172,150.5188728380017,2.4664960941299796
30.jpg,False,150.5188728380017,153.01901340280892,2.500140564807225
31.jpg,True,153.01901340280892,156.1692777023418,3.1502642995328642
32.jpg,False,156.1692777023418,159.53656277427217,3.3672850719303824
33.jpg,False,159.53656277427217,163.83656541095115,4.3000026366789825
34.jpg,False,163.83656541095115,168.13667967764195,4.300114266690798
