image,start time,end time,duration
01.png,0,12.71714609360788,12.71714609360788
02.png,12.71714609360788,13.667890745215118,0.9507446516072378
03.png,13.667890745215118,14.502154236659408,0.8342634914442897
04.png,14.502154236659408,15.30302209511865,0.8008678584592417
05.png,15.30302209511865,15.986677359673195,0.6836552645545453
06.png,15.986677359673195,16.65381201612763,0.6671346564544365
07.png,16.65381201612763,17.041378738824278,0.38756672269664705
08.png,17.041378738824278,17.538354383781552,0.4969756449572742
09.png,17.538354383781552,18.138998428941704,0.600644045160152
10.png,18.138998428941704,18.443800483015366,0.30480205407366157
11.png,18.443800483015366,18.98938256863039,0.545582085615024
12.png,18.98938256863039,19.606548249255866,0.6171656806254759
13.png,19.606548249255866,20.407260301406495,0.8007120521506295
14.png,20.407260301406495,21.141239300719462,0.7339789993129671
15.png,21.141239300719462,21.991881976253353,0.8506426755338907
16.png,21.991881976253353,22.692893724306487,0.7010117480531335
17.png,22.692893724306487,23.143094252212904,0.45020052790641785
18.png,23.143094252212904,23.660409986390732,0.5173157341778278
19.png,23.660409986390732,24.2612252474064,0.6008152610156685
20.png,24.2612252474064,24.661475975764915,0.4002507283585146
21.png,24.661475975764915,25.14553715859074,0.4840611828258261
22.png,25.14553715859074,25.460697423433885,0.3151602648431435
23.png,25.460697423433885,25.930218279594555,0.4695208561606705
24.png,25.930218279594555,26.39580391277559,0.4655856331810355
25.png,26.39580391277559,27.030869858223014,0.6350659454474226
26.png,27.030869858223014,27.299014961579815,0.268145103356801
27.png,27.299014961579815,27.91354700154625,0.6145320399664342
28.png,27.91354700154625,28.397499976097606,0.48395297455135733
29.png,28.397499976097606,28.964485743199475,0.566985767101869
30.png,28.964485743199475,29.765200534719042,0.8007147915195674
31.png,29.765200534719042,30.38235320302192,0.6171526683028787
32.png,30.38235320302192,30.950200870400295,0.5678476673783734
33.png,30.950200870400295,31.583334132330492,0.6331332619301975
34.png,31.583334132330492,32.183951467857696,0.600617335527204
blank.png,32.183951467857696,33.23471419978887,1.0507627319311723
blank_2panels.png,33.23471419978887,33.93539618642535,0.7006819866364822
