image,FE?,start time,end time,duration
01.jpg,True,0,15.593562576681506,15.593562576681506
02.jpg,False,15.593562576681506,23.850447941195853,8.256885364514346
03.jpg,True,23.850447941195853,31.017322173525827,7.166874232329974
04.jpg,False,31.017322173525827,38.462829424170195,7.4455072506443685
05.jpg,False,38.462829424170195,42.6507866664424,4.187957242272205
06.jpg,False,42.6507866664424,46.95119986878308,4.300413202340678
07.jpg,False,46.95119986878308,52.21870652292637,5.26750665414329
08.jpg,True,52.21870652292637,56.01962531344543,3.800918790519063
09.jpg,False,56.01962531344543,61.086253035155096,5.066627721709665
10.jpg,True,61.086253035155096,65.78681642440733,4.700563389252238
11.jpg,False,65.78681642440733,67.78637435577275,1.9995579313654162
12.jpg,False,67.78637435577275,71.44843634057543,3.6620619848026763
13.jpg,False,71.44843634057543,74.6860925755409,3.2376562349654705
14.jpg,False,74.6860925755409,80.33333481716818,5.647242241627282
15.jpg,False,80.33333481716818,84.86697980146982,4.533644984301645
16.jpg,True,84.86697980146982,88.86691816525399,3.9999383637841674
17.jpg,False,88.86691816525399,92.63390621912822,3.766988053874229
18.jpg,True,92.63390621912822,95.63373911649978,2.9998328973715616
19.jpg,False,95.63373911649978,98.95461246058221,3.320873344082429
20.jpg,False,98.95461246058221,101.5194080457859,2.564795585203683
21.jpg,True,101.5194080457859,103.50276352820765,1.9833554824217572
22.jpg,True,103.50276352820765,107.60284499073896,4.100081462531307
23.jpg,False,107.60284499073896,111.50275531004536,3.8999103193064
24.jpg,False,111.50275531004536,114.30255814264001,2.7998028325946507
25.jpg,False,114.30255814264001,117.40272521102725,3.100167068387236
26.jpg,True,117.40272521102725,121.88973931647433,4.487014105447088
27.jpg,False,121.88973931647433,123.93643902243548,2.046699705961146
28.jpg,True,123.93643902243548,127.82357420880453,3.8871351863690506
29.jpg,False,127.82357420880453,131.43695693785776,3.613382729053228
30.jpg,False,131.43695693785776,138.3235411649448,6.886584227087042
31.jpg,True,138.3235411649448,140.10390530485802,1.7803641399132175
32.jpg,False,140.10390530485802,142.57133381797667,2.467428513118648
33.jpg,False,142.57133381797667,147.77127896174443,5.1999451437677635
34.jpg,False,147.77127896174443,153.57130163017518,5.800022668430756
