image,FE?,start time,end time,duration
01.jpg,True,0,10.50536518016088,10.50536518016088
02.jpg,False,10.50536518016088,31.47541769509553,20.97005251493465
03.jpg,True,31.47541769509553,35.74199811527069,4.26658042017516
04.jpg,False,35.74199811527069,55.630288818454574,19.888290703183884
05.jpg,False,55.630288818454574,59.53058508817048,3.900296269715909
06.jpg,False,59.53058508817048,69.3918882639955,9.861303175825014
07.jpg,False,69.3918882639955,72.8971613307076,3.505273066712107
08.jpg,True,72.8971613307076,74.67558021197692,1.7784188812693174
09.jpg,False,74.67558021197692,76.69626293355032,2.020682721573394
10.jpg,True,76.69626293355032,80.30902828191029,3.6127653483599715
11.jpg,False,80.30902828191029,82.60920340018492,2.3001751182746375
12.jpg,False,82.60920340018492,84.63145376247485,2.022250362289924
13.jpg,False,84.63145376247485,86.49864911694385,1.867195354469004
14.jpg,False,86.49864911694385,87.32707053219201,0.8284214152481582
13.jpg,False,87.32707053219201,88.39928130967019,1.0722107774781762
12.jpg,False,88.39928130967019,89.83177585134763,1.4324945416774426
11.jpg,False,89.83177585134763,91.2100693350585,1.378293483710877
12.jpg,False,91.2100693350585,92.36816990787338,1.1581005728148739
11.jpg,False,92.36816990787338,93.26481862211949,0.8966487142461119
12.jpg,False,93.26481862211949,93.91043696700945,0.6456183448899537
13.jpg,False,93.91043696700945,95.79925775054289,1.888820783533447
12.jpg,False,95.79925775054289,97.79784317566373,1.9985854251208366
13.jpg,False,97.79784317566373,99.29995048474302,1.5021073090792925
12.jpg,False,99.29995048474302,100.73276417040324,1.4328136856602214
13.jpg,False,100.73276417040324,101.93324788584505,1.2004837154418055
14.jpg,False,101.93324788584505,103.29657550289267,1.3633276170476165
15.jpg,False,103.29657550289267,106.099832826083,2.803257323190337
16.jpg,True,106.099832826083,108.19492403551703,2.095091209434031
17.jpg,False,108.19492403551703,110.79578791581298,2.6008638802959467
18.jpg,True,110.79578791581298,113.09628252049879,2.3004946046858095
19.jpg,False,113.09628252049879,114.7791715405765,1.6828890200777096
20.jpg,False,114.7791715405765,116.23314906078667,1.4539775202101737
21.jpg,True,116.23314906078667,117.63500406805906,1.4018550072723883
22.jpg,True,117.63500406805906,118.73462458805807,1.0996205199990072
23.jpg,False,118.73462458805807,119.73366373182216,0.9990391437640938
24.jpg,False,119.73366373182216,120.63447843928952,0.9008147074673616
25.jpg,False,120.63447843928952,123.07915798038084,2.4446795410913182
26.jpg,True,123.07915798038084,123.8789773147546,0.7998193343737512
27.jpg,False,123.8789773147546,124.5792839943133,0.7003066795587074
28.jpg,True,124.5792839943133,125.17921235813265,0.5999283638193447
29.jpg,False,125.17921235813265,126.6352571232128,1.4560447650801507
30.jpg,False,126.6352571232128,128.1353067754426,1.5000496522297908
31.jpg,True,128.1353067754426,131.13434934349425,2.9990425680516637
32.jpg,False,131.13434934349425,134.39638949537039,3.2620401518761355
33.jpg,False,134.39638949537039,138.31304429116062,3.9166547957902367
34.jpg,False,138.31304429116062,141.94651222198445,3.6334679308238265
