image,FE?,start time,end time,duration
01.jpg,True,0,15.380746355489464,15.380746355489464
02.jpg,False,15.380746355489464,29.599833033768846,14.219086678279382
03.jpg,True,29.599833033768846,37.56592238398741,7.966089350218567
04.jpg,False,37.56592238398741,44.36606250413047,6.800140120143055
05.jpg,False,44.36606250413047,46.86592673277971,2.499864228649244
06.jpg,False,46.86592673277971,53.499287243211484,6.633360510431771
07.jpg,False,53.499287243211484,57.03292378210699,3.5336365388955073
08.jpg,True,57.03292378210699,63.333527716360095,6.300603934253104
09.jpg,False,63.333527716360095,72.98356156503098,9.650033848670887
10.jpg,True,72.98356156503098,77.34990451490239,4.3663429498714095
11.jpg,False,77.34990451490239,81.80036749007218,4.450462975169785
12.jpg,False,81.80036749007218,84.667707066719,2.8673395766468275
13.jpg,False,84.667707066719,86.36773867250884,1.7000316057898317
14.jpg,False,86.36773867250884,87.96714299068844,1.5994043181796087
15.jpg,False,87.96714299068844,89.76705094695808,1.7999079562696352
16.jpg,True,89.76705094695808,95.71725179610257,5.950200849144494
17.jpg,False,95.71725179610257,98.2010970599082,2.4838452638056197
18.jpg,True,98.2010970599082,100.80062054184577,2.599523481937581
19.jpg,False,100.80062054184577,103.3695456470814,2.5689251052356212
20.jpg,False,103.3695456470814,104.63433505082094,1.2647894037395417
21.jpg,True,104.63433505082094,108.60168760535976,3.96735255453882
22.jpg,True,108.60168760535976,114.43522097172558,5.8335333663658275
23.jpg,False,114.43522097172558,116.95220300573453,2.5169820340089473
22.jpg,True,116.95220300573453,126.78551311126637,9.833310105531837
23.jpg,False,126.78551311126637,129.4521877678402,2.666674656573832
24.jpg,False,129.4521877678402,132.58553988886945,3.1333521210292474
25.jpg,False,132.58553988886945,135.83543450770128,3.2498946188318314
26.jpg,True,135.83543450770128,138.70228304748298,2.8668485397816994
27.jpg,False,138.70228304748298,140.43640884263561,1.7341257951526359
28.jpg,True,140.43640884263561,145.78653970019354,5.350130857557929
29.jpg,False,145.78653970019354,147.63639884383758,1.8498591436440392
30.jpg,False,147.63639884383758,149.6367118199147,2.0003129760771117
31.jpg,True,149.6367118199147,154.17111778686876,4.534405966954068
32.jpg,False,154.17111778686876,156.8061640535675,2.635046266698737
33.jpg,False,156.8061640535675,159.93858923122593,3.1324251776584333
34.jpg,False,159.93858923122593,163.75538933504902,3.816800103823084
